OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update),Odom Reading All (Previous),Odom Reading All (Update),Diff All,Count1,Count2,Count3,Count4,#Cars in Policy
Sign Bottom,1292,172524,206990,49904,89990,,,,,111214,148490,37276,1,1,0,0,2
Sign Top,1293,34102,39741,2100,2830,20,47620,,,12074,30063.66667,17989.66667,1,1,1,0,3
Sign Bottom,1294,32140,62936,107720,148216,,,,,69930,105576,35646,1,1,0,0,2
Sign Top,1295,468,22251,,,,,,,468,22251,21783,1,0,0,0,1
Sign Bottom,1296,35616,67154,,,,,,,35616,67154,31538,1,0,0,0,1
Sign Bottom,1297,41003,49113,,,,,,,41003,49113,8110,1,0,0,0,1
Sign Bottom,1298,5763,42967,24578,29764,,,,,15170.5,36365.5,21195,1,1,0,0,2
Sign Top,1299,1577,30798,55498,57719,,,,,28537.5,44258.5,15721,1,1,0,0,2
Sign Top,1300,56600,86856,,,,,100000,114780,78300,100818,22518,1,0,0,1,2
Sign Bottom,1301,154361,196795,109498,133258,81286,99877,,,115048.3333,143310,28261.66667,1,1,1,0,3
Sign Bottom,1302,124836,167832,6828,53256,,,,,65832,110544,44712,1,1,0,0,2
Sign Top,1303,65543,69505,,,,,,,65543,69505,3962,1,0,0,0,1
Sign Top,1304,25783,44134,,,,,,,25783,44134,18351,1,0,0,0,1
Sign Bottom,1305,26132,27198,,,1000,24402,,,13566,25800,12234,1,0,1,0,2
Sign Bottom,1306,713,18020,91737,97267,,,,,46225,57643.5,11418.5,1,1,0,0,2
Sign Bottom,1307,72289,74085,,,,,,,72289,74085,1796,1,0,0,0,1
Sign Top,1308,74786,93882,,,,,,,74786,93882,19096,1,0,0,0,1
Sign Bottom,1309,112949,136010,94948,136336,,,,,103948.5,136173,32224.5,1,1,0,0,2
Sign Top,1310,9006,49047,,,,,,,9006,49047,40041,1,0,0,0,1
Sign Top,1311,38534,76217,100409,100633,,,,,69471.5,88425,18953.5,1,1,0,0,2
Sign Bottom,1312,182235,208106,,,,,,,182235,208106,25871,1,0,0,0,1
Sign Bottom,1313,35977,50297,14453,21670,,,,,25215,35983.5,10768.5,1,1,0,0,2
Sign Bottom,1314,101872,131052,62082,110646,157760,190518,,,107238,144072,36834,1,1,1,0,3
Sign Top,1315,42346,68892,,,,,,,42346,68892,26546,1,0,0,0,1
Sign Top,1316,22000,59291,12000,27466,,,,,17000,43378.5,26378.5,1,1,0,0,2
Sign Bottom,1317,74336,77221,,,,,,,74336,77221,2885,1,0,0,0,1
Sign Top,1318,47500,94129,161330,174202,92004,101871,,,100278,123400.6667,23122.66667,1,1,1,0,3
Sign Bottom,1319,141960,180014,120601,165314,,,,,131280.5,172664,41383.5,1,1,0,0,2
Sign Bottom,1320,87330,114786,83660,133621,,,,,85495,124203.5,38708.5,1,1,0,0,2
Sign Bottom,1321,47778,69358,,,,,,,47778,69358,21580,1,0,0,0,1
Sign Top,1322,114000,149139,,,94542,113057,,,104271,131098,26827,1,0,1,0,2
Sign Top,1323,131140,149502,,,,,,,131140,149502,18362,1,0,0,0,1
Sign Bottom,1324,340638,367467,,,,,,,340638,367467,26829,1,0,0,0,1
Sign Top,1325,48847,61034,439,3161,,,,,24643,32097.5,7454.5,1,1,0,0,2
Sign Bottom,1326,42978,49895,130930,137307,,,,,86954,93601,6647,1,1,0,0,2
Sign Bottom,1327,76993,79867,20393,45185,,,,,48693,62526,13833,1,1,0,0,2
Sign Top,1328,6906,25495,,,,,,,6906,25495,18589,1,0,0,0,1
Sign Top,1329,34,24034,111111,133373,,,,,55572.5,78703.5,23131,1,1,0,0,2
Sign Bottom,1330,10000,12421,78000,107411,,,,,44000,59916,15916,1,1,0,0,2
Sign Bottom,1331,83346,129330,39092,61096,80663,99593,,,67700.33333,96673,28972.66667,1,1,1,0,3
Sign Top,1332,47252,81341,99616,107304,,,,,73434,94322.5,20888.5,1,1,0,0,2
Sign Bottom,1333,57378,97044,,,,,,,57378,97044,39666,1,0,0,0,1
Sign Bottom,1334,12200,20557,,,,,,,12200,20557,8357,1,0,0,0,1
Sign Bottom,1335,15025,39009,,,74293,99689,11476,34623,33598,57773.66667,24175.66667,1,0,1,1,3
Sign Top,1336,41728,81409,85000,104854,,,,,63364,93131.5,29767.5,1,1,0,0,2
Sign Top,1337,121000,164278,112000,124037,,,,,116500,144157.5,27657.5,1,1,0,0,2
Sign Bottom,1338,32128,56261,,,,,,,32128,56261,24133,1,0,0,0,1
Sign Bottom,1339,74408,104941,184962,229865,,,,,129685,167403,37718,1,1,0,0,2
Sign Top,1340,18258,66989,,,,,,,18258,66989,48731,1,0,0,0,1
Sign Top,1341,54298,57655,,,,,,,54298,57655,3357,1,0,0,0,1
Sign Bottom,1342,137424,167582,,,,,,,137424,167582,30158,1,0,0,0,1
Sign Top,1343,65000,93706,,,,,,,65000,93706,28706,1,0,0,0,1
Sign Top,1344,575,41100,95,28136,,,,,335,34618,34283,1,1,0,0,2
Sign Top,1345,69526,91144,,,,,,,69526,91144,21618,1,0,0,0,1
Sign Bottom,1346,66520,74887,,,,,,,66520,74887,8367,1,0,0,0,1
Sign Top,1347,2377,26966,,,,,,,2377,26966,24589,1,0,0,0,1
Sign Top,1348,42000,64569,60000,107810,,,,,51000,86189.5,35189.5,1,1,0,0,2
Sign Bottom,1349,76000,106727,106000,146747,,,,,91000,126737,35737,1,1,0,0,2
Sign Top,1350,886,17479,,,,,,,886,17479,16593,1,0,0,0,1
Sign Top,1351,49975,64256,,,,,,,49975,64256,14281,1,0,0,0,1
Sign Bottom,1352,161924,182991,,,,,,,161924,182991,21067,1,0,0,0,1
Sign Bottom,1353,63678,83274,,,,,,,63678,83274,19596,1,0,0,0,1
Sign Top,1354,44000,63450,,,,,,,44000,63450,19450,1,0,0,0,1
Sign Bottom,1355,42123,63905,,,,,,,42123,63905,21782,1,0,0,0,1
Sign Bottom,1356,131990,151687,7840,26033,,,,,69915,88860,18945,1,1,0,0,2
Sign Bottom,1357,92175,133115,88103,111622,,,,,90139,122368.5,32229.5,1,1,0,0,2
Sign Top,1358,66457,106165,,,,,114133,139886,90295,123025.5,32730.5,1,0,0,1,2
Sign Top,1359,36739,63241,,,,,,,36739,63241,26502,1,0,0,0,1
Sign Bottom,1360,80500,104906,,,,,,,80500,104906,24406,1,0,0,0,1
Sign Bottom,1361,149331,197684,,,2839,36066,,,76085,116875,40790,1,0,1,0,2
Sign Top,1362,4,34340,11,9464,,,,,7.5,21902,21894.5,1,1,0,0,2
Sign Bottom,1363,129747,143662,114399,150645,,,,,122073,147153.5,25080.5,1,1,0,0,2
Sign Top,1364,58625,89469,,,,,,,58625,89469,30844,1,0,0,0,1
Sign Bottom,1365,0,44782,,,25336,27840,,,12668,36311,23643,1,0,1,0,2
Sign Top,1366,33785,43817,,,,,,,33785,43817,10032,1,0,0,0,1
Sign Bottom,1367,108949,137808,,,,,,,108949,137808,28859,1,0,0,0,1
Sign Top,1368,20,10853,77470,94103,,,,,38745,52478,13733,1,1,0,0,2
Sign Bottom,1369,125515,170132,69224,106890,,,,,97369.5,138511,41141.5,1,1,0,0,2
Sign Top,1370,137112,145727,,,,,,,137112,145727,8615,1,0,0,0,1
Sign Bottom,1371,284506,321783,,,,,,,284506,321783,37277,1,0,0,0,1
Sign Top,1372,17000,25071,,,,,,,17000,25071,8071,1,0,0,0,1
Sign Top,1373,60000,105961,,,,,,,60000,105961,45961,1,0,0,0,1
Sign Top,1374,878,33701,802,24826,2360,46237,,,1346.666667,34921.33333,33574.66667,1,1,1,0,3
Sign Top,1375,5372,18470,,,,,,,5372,18470,13098,1,0,0,0,1
Sign Bottom,1376,46097,95235,,,,,,,46097,95235,49138,1,0,0,0,1
Sign Bottom,1377,11481,22214,,,,,,,11481,22214,10733,1,0,0,0,1
Sign Top,1378,128392,143297,124477,137163,87000,128668,14255,36553,88531,111420.25,22889.25,1,1,1,1,4
Sign Bottom,1379,6927,49802,76859,91795,,,,,41893,70798.5,28905.5,1,1,0,0,2
Sign Bottom,1380,26873,29205,,,,,,,26873,29205,2332,1,0,0,0,1
Sign Top,1381,33955,50957,48976,96319,,,,,41465.5,73638,32172.5,1,1,0,0,2
Sign Bottom,1382,48506,53653,1900,34019,,,,,25203,43836,18633,1,1,0,0,2
Sign Top,1383,54850,83333,,,,,,,54850,83333,28483,1,0,0,0,1
Sign Bottom,1384,36781,39591,,,,,,,36781,39591,2810,1,0,0,0,1
Sign Bottom,1385,57199,77070,,,,,,,57199,77070,19871,1,0,0,0,1
Sign Top,1386,47095,89390,153760,157957,,,,,100427.5,123673.5,23246,1,1,0,0,2
Sign Bottom,1387,17358,32574,97293,130039,,,,,57325.5,81306.5,23981,1,1,0,0,2
Sign Bottom,1388,102370,137175,,,,,,,102370,137175,34805,1,0,0,0,1
Sign Top,1389,37570,46380,,,,,,,37570,46380,8810,1,0,0,0,1
Sign Bottom,1390,56527,62173,,,,,,,56527,62173,5646,1,0,0,0,1
Sign Top,1391,70188,93102,,,,,,,70188,93102,22914,1,0,0,0,1
Sign Top,1392,30978,32301,,,,,,,30978,32301,1323,1,0,0,0,1
Sign Bottom,1393,176439,211358,,,,,,,176439,211358,34919,1,0,0,0,1
Sign Top,1394,89125,138860,,,,,,,89125,138860,49735,1,0,0,0,1
Sign Top,1395,44106,77715,,,,,,,44106,77715,33609,1,0,0,0,1
Sign Bottom,1396,38945,75684,,,,,,,38945,75684,36739,1,0,0,0,1
Sign Top,1397,55000,80891,9800,57947,13861,14550,,,26220.33333,51129.33333,24909,1,1,1,0,3
Sign Bottom,1398,13748,32157,110583,116575,,,,,62165.5,74366,12200.5,1,1,0,0,2
Sign Bottom,1399,24369,45866,68358,117008,,,,,46363.5,81437,35073.5,1,1,0,0,2
Sign Top,1400,60295,61504,,,,,,,60295,61504,1209,1,0,0,0,1
Sign Top,1401,20800,26462,,,129934,173245,,,75367,99853.5,24486.5,1,0,1,0,2
Sign Top,1402,30380,53992,25028,74699,,,,,27704,64345.5,36641.5,1,1,0,0,2
Sign Bottom,1403,60195,107097,,,,,,,60195,107097,46902,1,0,0,0,1
Sign Bottom,1404,32499,46449,,,,,,,32499,46449,13950,1,0,0,0,1
Sign Top,1405,36000,57542,49000,86669,,,,,42500,72105.5,29605.5,1,1,0,0,2
Sign Top,1406,60000,102755,,,,,,,60000,102755,42755,1,0,0,0,1
Sign Bottom,1407,59289,100893,,,,,,,59289,100893,41604,1,0,0,0,1
Sign Bottom,1408,21272,65652,,,,,,,21272,65652,44380,1,0,0,0,1
Sign Top,1409,507,5315,,,,,,,507,5315,4808,1,0,0,0,1
Sign Bottom,1410,57500,103763,,,,,,,57500,103763,46263,1,0,0,0,1
Sign Bottom,1411,52418,89746,111051,111336,,,,,81734.5,100541,18806.5,1,1,0,0,2
Sign Top,1412,34970,48412,21000,25688,,,,,27985,37050,9065,1,1,0,0,2
Sign Bottom,1413,11724,26375,,,,,,,11724,26375,14651,1,0,0,0,1
Sign Top,1414,25845,34211,,,,,,,25845,34211,8366,1,0,0,0,1
Sign Top,1415,107865,148318,,,,,,,107865,148318,40453,1,0,0,0,1
Sign Top,1416,176999,203150,2495,11037,,,,,89747,107093.5,17346.5,1,1,0,0,2
Sign Top,1417,75000,88106,,,,,,,75000,88106,13106,1,0,0,0,1
Sign Bottom,1418,101595,149475,302670,335465,58920,95536,,,154395,193492,39097,1,1,1,0,3
Sign Top,1419,175000,185183,150000,161579,,,,,162500,173381,10881,1,1,0,0,2
Sign Bottom,1420,6270,20654,56938,63529,,,,,31604,42091.5,10487.5,1,1,0,0,2
Sign Bottom,1421,147998,168644,,,,,,,147998,168644,20646,1,0,0,0,1
Sign Bottom,1422,216665,246475,10044,22848,,,,,113354.5,134661.5,21307,1,1,0,0,2
Sign Bottom,1423,1647,44219,,,,,,,1647,44219,42572,1,0,0,0,1
Sign Top,1424,163985,173048,,,,,,,163985,173048,9063,1,0,0,0,1
Sign Bottom,1425,86220,107213,,,,,,,86220,107213,20993,1,0,0,0,1
Sign Bottom,1426,34795,80407,,,,,,,34795,80407,45612,1,0,0,0,1
Sign Top,1427,282,28261,47700,69640,,,,,23991,48950.5,24959.5,1,1,0,0,2
Sign Bottom,1428,46754,80255,,,,,,,46754,80255,33501,1,0,0,0,1
Sign Top,1429,84039,129394,85756,135236,,,,,84897.5,132315,47417.5,1,1,0,0,2
Sign Top,1430,1215,30958,,,,,,,1215,30958,29743,1,0,0,0,1
Sign Top,1431,21902,51899,,,,,,,21902,51899,29997,1,0,0,0,1
Sign Top,1432,112034,145931,,,,,,,112034,145931,33897,1,0,0,0,1
Sign Top,1433,60948,82450,91000,96792,,,,,75974,89621,13647,1,1,0,0,2
Sign Bottom,1434,129141,132328,,,,,,,129141,132328,3187,1,0,0,0,1
Sign Top,1435,81411,93842,148424,185751,,,,,114917.5,139796.5,24879,1,1,0,0,2
Sign Bottom,1436,66642,88970,,,,,,,66642,88970,22328,1,0,0,0,1
Sign Top,1437,59213,72985,,,,,,,59213,72985,13772,1,0,0,0,1
Sign Bottom,1438,30893,56891,151031,176334,,,,,90962,116612.5,25650.5,1,1,0,0,2
Sign Bottom,1439,147231,177646,43900,44553,,,,,95565.5,111099.5,15534,1,1,0,0,2
Sign Top,1440,45000,47540,,,,,,,45000,47540,2540,1,0,0,0,1
Sign Top,1441,135000,136381,,,,,,,135000,136381,1381,1,0,0,0,1
Sign Bottom,1442,47883,52560,,,,,,,47883,52560,4677,1,0,0,0,1
Sign Top,1443,0,24785,,,,,,,0,24785,24785,1,0,0,0,1
Sign Top,1444,8,45014,,,,,,,8,45014,45006,1,0,0,0,1
Sign Top,1445,78504,94228,,,93000,95761,,,85752,94994.5,9242.5,1,0,1,0,2
Sign Bottom,1446,190836,210222,,,,,,,190836,210222,19386,1,0,0,0,1
Sign Bottom,1447,88901,132957,,,,,,,88901,132957,44056,1,0,0,0,1
Sign Top,1448,89000,96581,11200,47518,,,,,50100,72049.5,21949.5,1,1,0,0,2
Sign Bottom,1449,117375,127440,,,,,,,117375,127440,10065,1,0,0,0,1
Sign Bottom,1450,23167,30634,,,100775,114474,,,61971,72554,10583,1,0,1,0,2
Sign Bottom,1451,17363,55351,18386,42352,,,,,17874.5,48851.5,30977,1,1,0,0,2
Sign Top,1452,80645,129152,66711,83317,,,,,73678,106234.5,32556.5,1,1,0,0,2
Sign Top,1453,15933,35944,,,,,,,15933,35944,20011,1,0,0,0,1
Sign Top,1454,33924,61079,11922,37663,,,,,22923,49371,26448,1,1,0,0,2
Sign Top,1455,130010,141839,8702,38176,,,,,69356,90007.5,20651.5,1,1,0,0,2
Sign Bottom,1456,42068,44912,,,,,,,42068,44912,2844,1,0,0,0,1
Sign Bottom,1457,39968,72031,40508,89516,,,,,40238,80773.5,40535.5,1,1,0,0,2
Sign Top,1458,153792,194845,,,,,,,153792,194845,41053,1,0,0,0,1
Sign Top,1459,14180,62411,,,,,,,14180,62411,48231,1,0,0,0,1
Sign Top,1460,65389,113314,,,,,,,65389,113314,47925,1,0,0,0,1
Sign Top,1461,8605,57221,137,15265,,,,,4371,36243,31872,1,1,0,0,2
Sign Top,1462,18410,66554,10,26717,,,,,9210,46635.5,37425.5,1,1,0,0,2
Sign Top,1463,26937,71382,,,,,,,26937,71382,44445,1,0,0,0,1
Sign Bottom,1464,38941,43559,,,,,,,38941,43559,4618,1,0,0,0,1
Sign Top,1465,52749,54973,40763,79714,,,,,46756,67343.5,20587.5,1,1,0,0,2
Sign Bottom,1466,41696,60321,75665,97975,,,,,58680.5,79148,20467.5,1,1,0,0,2
Sign Top,1467,127094,161910,,,,,,,127094,161910,34816,1,0,0,0,1
Sign Top,1468,0,10124,9500,22177,,,,,4750,16150.5,11400.5,1,1,0,0,2
Sign Top,1469,4290,22167,136839,138948,,,,,70564.5,80557.5,9993,1,1,0,0,2
Sign Top,1470,47817,79519,,,,,,,47817,79519,31702,1,0,0,0,1
Sign Top,1471,45,23261,21763,65414,,,,,10904,44337.5,33433.5,1,1,0,0,2
Sign Bottom,1472,46350,58115,211392,242971,,,,,128871,150543,21672,1,1,0,0,2
Sign Bottom,1473,8000,19285,54000,58806,,,14,634,20671.33333,26241.66667,5570.333333,1,1,0,1,3
Sign Top,1474,42172,59737,8307,9460,,,,,25239.5,34598.5,9359,1,1,0,0,2
Sign Bottom,1475,12157,47857,19661,28838,,,,,15909,38347.5,22438.5,1,1,0,0,2
Sign Bottom,1476,188000,224367,,,,,,,188000,224367,36367,1,0,0,0,1
Sign Top,1477,140000,151584,20000,30857,,,,,80000,91220.5,11220.5,1,1,0,0,2
Sign Bottom,1478,8677,17191,106754,117665,,,,,57715.5,67428,9712.5,1,1,0,0,2
Sign Top,1479,26903,51880,,,,,,,26903,51880,24977,1,0,0,0,1
Sign Bottom,1480,100204,118995,,,,,181624,219095,140914,169045,28131,1,0,0,1,2
Sign Bottom,1481,12017,37729,,,,,,,12017,37729,25712,1,0,0,0,1
Sign Bottom,1482,142521,148142,,,87534,120559,,,115027.5,134350.5,19323,1,0,1,0,2
Sign Bottom,1483,22789,44361,,,,,,,22789,44361,21572,1,0,0,0,1
Sign Top,1484,81524,98321,48744,89976,,,,,65134,94148.5,29014.5,1,1,0,0,2
Sign Top,1485,17055,59258,68972,110048,135456,182594,,,73827.66667,117300,43472.33333,1,1,1,0,3
Sign Top,1486,7000,51776,,,,,,,7000,51776,44776,1,0,0,0,1
Sign Bottom,1487,95122,117330,,,,,,,95122,117330,22208,1,0,0,0,1
Sign Bottom,1488,79641,88662,8871,57571,,,,,44256,73116.5,28860.5,1,1,0,0,2
Sign Bottom,1489,29106,47970,,,,,,,29106,47970,18864,1,0,0,0,1
Sign Top,1490,208000,240386,160000,179347,,,,,184000,209866.5,25866.5,1,1,0,0,2
Sign Top,1491,139584,160803,,,82238,100090,,,110911,130446.5,19535.5,1,0,1,0,2
Sign Bottom,1492,120000,165615,,,,,,,120000,165615,45615,1,0,0,0,1
Sign Top,1493,2900,19173,,,,,,,2900,19173,16273,1,0,0,0,1
Sign Bottom,1494,16413,46025,,,,,,,16413,46025,29612,1,0,0,0,1
Sign Bottom,1495,96144,130507,51746,60812,,,,,73945,95659.5,21714.5,1,1,0,0,2
Sign Bottom,1496,142424,154095,13840,55112,,,,,78132,104603.5,26471.5,1,1,0,0,2
Sign Top,1497,67796,97298,,,,,,,67796,97298,29502,1,0,0,0,1
Sign Top,1498,150,11678,1591,26128,,,,,870.5,18903,18032.5,1,1,0,0,2
Sign Bottom,1499,9603,38349,,,,,,,9603,38349,28746,1,0,0,0,1
Sign Bottom,1500,93247,95310,,,,,,,93247,95310,2063,1,0,0,0,1
Sign Bottom,1501,2708,45102,,,,,,,2708,45102,42394,1,0,0,0,1
Sign Bottom,1502,45356,86293,,,,,,,45356,86293,40937,1,0,0,0,1
Sign Bottom,1503,45562,53673,,,,,,,45562,53673,8111,1,0,0,0,1
Sign Bottom,1504,105100,151755,,,,,,,105100,151755,46655,1,0,0,0,1
Sign Top,1505,119000,165169,,,,,,,119000,165169,46169,1,0,0,0,1
Sign Bottom,1506,39908,83839,187644,204816,,,,,113776,144327.5,30551.5,1,1,0,0,2
Sign Top,1507,42046,90974,,,,,,,42046,90974,48928,1,0,0,0,1
Sign Bottom,1508,136875,151024,211493,255503,,,,,174184,203263.5,29079.5,1,1,0,0,2
Sign Bottom,1509,103620,144834,203808,210747,,,,,153714,177790.5,24076.5,1,1,0,0,2
Sign Top,1510,358544,391882,112660,140683,40845,77423,,,170683,203329.3333,32646.33333,1,1,1,0,3
Sign Top,1511,38548,81884,515,15390,,,,,19531.5,48637,29105.5,1,1,0,0,2
Sign Top,1512,23642,31504,231,21822,65001,82445,,,29624.66667,45257,15632.33333,1,1,1,0,3
Sign Bottom,1513,44084,46195,,,,,,,44084,46195,2111,1,0,0,0,1
Sign Top,1514,10,14259,,,,,,,10,14259,14249,1,0,0,0,1
Sign Top,1515,53384,68517,,,,,,,53384,68517,15133,1,0,0,0,1
Sign Bottom,1516,24118,33838,,,,,,,24118,33838,9720,1,0,0,0,1
Sign Bottom,1517,8283,25805,,,,,,,8283,25805,17522,1,0,0,0,1
Sign Bottom,1518,116966,155520,39537,53832,93010,124504,,,83171,111285.3333,28114.33333,1,1,1,0,3
Sign Bottom,1519,31117,45400,52160,78810,,,,,41638.5,62105,20466.5,1,1,0,0,2
Sign Top,1520,54518,62793,,,,,,,54518,62793,8275,1,0,0,0,1
Sign Bottom,1521,20141,25896,5413,27341,,,,,12777,26618.5,13841.5,1,1,0,0,2
Sign Top,1522,8270,47885,,,,,,,8270,47885,39615,1,0,0,0,1
Sign Top,1523,115280,127264,81401,119630,,,,,98340.5,123447,25106.5,1,1,0,0,2
Sign Bottom,1524,100774,105011,,,,,,,100774,105011,4237,1,0,0,0,1
Sign Bottom,1525,48144,74395,,,,,,,48144,74395,26251,1,0,0,0,1
Sign Bottom,1526,63201,71566,,,,,,,63201,71566,8365,1,0,0,0,1
Sign Bottom,1527,18223,65083,98107,129507,,,,,58165,97295,39130,1,1,0,0,2
Sign Bottom,1528,184592,205610,,,,,,,184592,205610,21018,1,0,0,0,1
Sign Top,1529,69999,86001,82000,95791,,,,,75999.5,90896,14896.5,1,1,0,0,2
Sign Top,1530,68400,87184,100000,113816,,,,,84200,100500,16300,1,1,0,0,2
Sign Bottom,1531,72973,116284,,,,,,,72973,116284,43311,1,0,0,0,1
Sign Bottom,1532,158798,177531,32507,64836,,,,,95652.5,121183.5,25531,1,1,0,0,2
Sign Bottom,1533,125989,161019,,,,,65614,82487,95801.5,121753,25951.5,1,0,0,1,2
Sign Top,1534,110444,119571,,,,,,,110444,119571,9127,1,0,0,0,1
Sign Top,1535,75000,88991,,,,,,,75000,88991,13991,1,0,0,0,1
Sign Top,1536,124000,130918,,,,,,,124000,130918,6918,1,0,0,0,1
Sign Bottom,1537,137137,157633,72507,113224,,,,,104822,135428.5,30606.5,1,1,0,0,2
Sign Top,1538,56213,61762,,,35046,66922,,,45629.5,64342,18712.5,1,0,1,0,2
Sign Top,1539,118597,133552,,,,,,,118597,133552,14955,1,0,0,0,1
Sign Bottom,1540,138000,140093,,,,,,,138000,140093,2093,1,0,0,0,1
Sign Top,1541,90000,91312,,,,,,,90000,91312,1312,1,0,0,0,1
Sign Top,1542,40155,79218,,,,,,,40155,79218,39063,1,0,0,0,1
Sign Top,1543,48998,72053,,,712,46308,,,24855,59180.5,34325.5,1,0,1,0,2
Sign Bottom,1544,8864,55175,64081,82743,,,,,36472.5,68959,32486.5,1,1,0,0,2
Sign Bottom,1545,11399,14209,,,,,,,11399,14209,2810,1,0,0,0,1
Sign Bottom,1546,83262,92155,75881,109713,,,,,79571.5,100934,21362.5,1,1,0,0,2
Sign Bottom,1547,119498,124931,54191,81087,153647,166722,,,109112,124246.6667,15134.66667,1,1,1,0,3
Sign Bottom,1548,40535,48522,,,,,,,40535,48522,7987,1,0,0,0,1
Sign Bottom,1549,93201,99164,,,,,,,93201,99164,5963,1,0,0,0,1
Sign Bottom,1550,177399,193685,,,,,,,177399,193685,16286,1,0,0,0,1
Sign Bottom,1551,48678,72686,,,,,,,48678,72686,24008,1,0,0,0,1
Sign Bottom,1552,86806,122980,,,,,119024,149112,102915,136046,33131,1,0,0,1,2
Sign Bottom,1553,134160,143344,,,,,,,134160,143344,9184,1,0,0,0,1
Sign Bottom,1554,1463,7549,29801,35027,,,,,15632,21288,5656,1,1,0,0,2
Sign Top,1555,69401,103067,,,,,710,27600,35055.5,65333.5,30278,1,0,0,1,2
Sign Top,1556,27727,70503,,,,,,,27727,70503,42776,1,0,0,0,1
Sign Bottom,1557,2008,48372,,,,,,,2008,48372,46364,1,0,0,0,1
Sign Bottom,1558,110800,157587,,,,,,,110800,157587,46787,1,0,0,0,1
Sign Top,1559,66219,103656,59710,64780,62932,95184,,,62953.66667,87873.33333,24919.66667,1,1,1,0,3
Sign Bottom,1560,96636,110220,,,,,,,96636,110220,13584,1,0,0,0,1
Sign Top,1561,5,3088,,,,,,,5,3088,3083,1,0,0,0,1
Sign Top,1562,75646,89940,14511,22316,,,,,45078.5,56128,11049.5,1,1,0,0,2
Sign Bottom,1563,26223,65102,,,,,,,26223,65102,38879,1,0,0,0,1
Sign Bottom,1564,15229,31826,,,,,,,15229,31826,16597,1,0,0,0,1
Sign Bottom,1565,11871,43825,19050,30061,,,,,15460.5,36943,21482.5,1,1,0,0,2
Sign Top,1566,777,8865,157504,201206,,,,,79140.5,105035.5,25895,1,1,0,0,2
Sign Top,1567,12668,62516,,,,,,,12668,62516,49848,1,0,0,0,1
Sign Top,1568,6,27612,20000,36154,10,40791,,,6672,34852.33333,28180.33333,1,1,1,0,3
Sign Bottom,1569,180600,205471,,,,,,,180600,205471,24871,1,0,0,0,1
Sign Bottom,1570,7953,34294,134227,161732,,,,,71090,98013,26923,1,1,0,0,2
Sign Top,1571,11502,42237,46107,85979,,,,,28804.5,64108,35303.5,1,1,0,0,2
Sign Bottom,1572,162828,180246,226106,236986,,,,,194467,208616,14149,1,1,0,0,2
Sign Bottom,1573,42930,80428,15217,52025,,,,,29073.5,66226.5,37153,1,1,0,0,2
Sign Top,1574,14701,54497,36523,63568,22541,70776,,,24588.33333,62947,38358.66667,1,1,1,0,3
Sign Bottom,1575,6991,50472,76890,113831,,,,,41940.5,82151.5,40211,1,1,0,0,2
Sign Bottom,1576,108452,127128,,,,,,,108452,127128,18676,1,0,0,0,1
Sign Bottom,1577,54948,104466,,,,,,,54948,104466,49518,1,0,0,0,1
Sign Top,1578,31775,49929,,,,,,,31775,49929,18154,1,0,0,0,1
Sign Bottom,1579,95651,120154,,,,,,,95651,120154,24503,1,0,0,0,1
Sign Top,1580,913,43732,,,,,,,913,43732,42819,1,0,0,0,1
Sign Top,1581,100222,120240,34602,57284,,,,,67412,88762,21350,1,1,0,0,2
Sign Top,1582,39661,60807,52679,82132,,,,,46170,71469.5,25299.5,1,1,0,0,2
Sign Top,1583,72485,116512,,,,,,,72485,116512,44027,1,0,0,0,1
Sign Top,1584,79250,102814,152175,194921,,,,,115712.5,148867.5,33155,1,1,0,0,2
Sign Top,1585,72305,88500,1548,3097,,,,,36926.5,45798.5,8872,1,1,0,0,2
Sign Top,1586,73716,107099,61927,104117,,,,,67821.5,105608,37786.5,1,1,0,0,2
Sign Top,1587,57697,62646,1727,11884,303,20819,,,19909,31783,11874,1,1,1,0,3
Sign Top,1588,23385,58990,62146,64778,70024,111976,,,51851.66667,78581.33333,26729.66667,1,1,1,0,3
Sign Bottom,1589,8959,19316,15321,40279,,,,,12140,29797.5,17657.5,1,1,0,0,2
Sign Bottom,1590,32981,65529,108571,156060,,,,,70776,110794.5,40018.5,1,1,0,0,2
Sign Bottom,1591,28039,34433,,,,,,,28039,34433,6394,1,0,0,0,1
Sign Bottom,1592,90289,109580,,,,,,,90289,109580,19291,1,0,0,0,1
Sign Bottom,1593,35927,49042,,,,,,,35927,49042,13115,1,0,0,0,1
Sign Bottom,1594,90030,101540,,,,,,,90030,101540,11510,1,0,0,0,1
Sign Top,1595,23000,64866,,,,,,,23000,64866,41866,1,0,0,0,1
Sign Bottom,1596,19900,31376,,,,,,,19900,31376,11476,1,0,0,0,1
Sign Bottom,1597,94625,138526,5007,51195,,,,,49816,94860.5,45044.5,1,1,0,0,2
Sign Top,1598,0,38449,83000,86722,,,,,41500,62585.5,21085.5,1,1,0,0,2
Sign Top,1599,45987,78960,,,,,,,45987,78960,32973,1,0,0,0,1
Sign Bottom,1600,13395,35213,84720,110190,,,,,49057.5,72701.5,23644,1,1,0,0,2
